date,r_m
1995-09-05,0.002222553497133628
1995-09-06,0.01922842886698306
1995-09-07,0.00011940298507462366
1995-09-08,-0.003661254377586798
1995-09-11,0.03244661021462436
1995-09-12,-0.015165387839319089
1995-09-13,-0.0006678102371382444
1995-09-14,-0.0066170497130427774
1995-09-15,-0.002901876986796559
1995-09-18,0.0019446245022687325
1995-09-19,-0.027277528386585592
1995-09-20,-0.014387708010967226
1995-09-21,0.006927038863029145
1995-09-22,-0.0015864983519564557
1995-09-25,-0.009123162696401343
1995-09-26,0.00761733600608272
1995-09-27,-0.0279889141947699
1995-09-28,0.003853428563362904
1995-09-29,0.015804496688648362
1995-10-04,-0.006422767603781687
1995-10-05,0.009877540784909211
1995-10-06,-0.006787330316742057
1995-10-09,-0.01898716595366423
1995-10-10,0.00331308669243513
